content	label_manual	scores	compound	negatif	netral	positif	label_vader
Very Bad app	N	{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.655	0.345	0.0	N
Battery consumption is very high.	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Sound of meeting is not hear	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Worst	N	{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.6249}	-0.6249	1.0	0.0	0.0	N
Worst app	N	{'neg': 0.804, 'neu': 0.196, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.804	0.196	0.0	N
This is the worst app ever	N	{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.451	0.549	0.0	N
This thing Distroyed my childhood	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
No user friendly ,Audio are not clear.	N	{'neg': 0.637, 'neu': 0.363, 'pos': 0.0, 'compound': -0.7195}	-0.7195	0.637	0.363	0.0	N
Audio sound problem	N	{'neg': 0.574, 'neu': 0.426, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.574	0.426	0.0	N
It never works on my phone. Terrible. I've been left out of many meetings already because of it	N	{'neg': 0.154, 'neu': 0.846, 'pos': 0.0, 'compound': -0.4767}	-0.4767	0.154	0.846	0.0	N
Frustrated by it in lock down	N	{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.5267}	-0.5267	0.405	0.595	0.0	N
I wanted to mute my mic while connecting so I enabled don't connect my audio but when I joined,my mic was unmuted and cuz of me people were getting disturbed	N	{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.5267}	-0.5267	0.105	0.895	0.0	N
not much better app	N	{'neg': 0.445, 'neu': 0.555, 'pos': 0.0, 'compound': -0.3412}	-0.3412	0.445	0.555	0.0	N
Why was this app even made? Thanks to this, we have to do online school	P	{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}	0.4404	0.0	0.828	0.172	P
It over laps pages on the verification site, wont navigate after that.	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Their is incorrect password problem when i use right password. not very good app please try to solve thus problem	N	{'neg': 0.293, 'neu': 0.548, 'pos': 0.159, 'compound': -0.566}	-0.566	0.293	0.548	0.159	N
Its so annoying when I join audio my mic is unmuted, it's just so irritating that I have to mute myself everytime I join a meeting, the reason why it's annoying because the place where i attend meetings are noisy and it will disturb others. Maybe you could add a new feature where I'm muted when I connect my audio, while entering a meeting.	N	{'neg': 0.185, 'neu': 0.756, 'pos': 0.058, 'compound': -0.8611}	-0.8611	0.185	0.756	0.058	N
Not joining the meeting	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Hectic app for students	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Worst ra dei	N	{'neg': 0.672, 'neu': 0.328, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.672	0.328	0.0	N
This app not work properly and its very bad	N	{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.322	0.678	0.0	N
As in recent updates the zoom, video has became off and if it turns on it shows video off in participants list	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Nice app	P	{'neg': 0.0, 'neu': 0.263, 'pos': 0.737, 'compound': 0.4215}	0.4215	0.0	0.263	0.737	P
No,just no	N	{'neg': 0.688, 'neu': 0.312, 'pos': 0.0, 'compound': -0.296}	-0.296	0.688	0.312	0.0	N
All the time meeting is reset, I'm having problem I attending my coaching classes...	N	{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.172	0.828	0.0	N
Not nice	N	{'neg': 0.7, 'neu': 0.3, 'pos': 0.0, 'compound': -0.3252}	-0.3252	0.7	0.3	0.0	N
Nice	P	{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4215}	0.4215	0.0	0.0	1.0	P
Do not .	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Waste app	N	{'neg': 0.737, 'neu': 0.263, 'pos': 0.0, 'compound': -0.4215}	-0.4215	0.737	0.263	0.0	N
i can not found the virtual background option in my zoom meetings please help me thanks	P	{'neg': 0.0, 'neu': 0.622, 'pos': 0.378, 'compound': 0.7845}	0.7845	0.0	0.622	0.378	P
Worst, because the screen is not clear and the voice is not clear even the signals are good.	N	{'neg': 0.334, 'neu': 0.552, 'pos': 0.114, 'compound': -0.6776}	-0.6776	0.334	0.552	0.114	N
Very bad experience in this app	N	{'neg': 0.431, 'neu': 0.569, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.431	0.569	0.0	N
Ban this app	N	{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.5574}	-0.5574	0.643	0.357	0.0	N
Worst app not recommended	N	{'neg': 0.74, 'neu': 0.26, 'pos': 0.0, 'compound': -0.69}	-0.69	0.74	0.26	0.0	N
Very very bad I am unable to use background in my mobile do something Varna I will delete this app	N	{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.6214}	-0.6214	0.176	0.824	0.0	N
No Ratings Dangerous Room In the World	N	{'neg': 0.226, 'neu': 0.513, 'pos': 0.262, 'compound': 0.091}	0.091	0.226	0.513	0.262	P
Good app with 3000 participants limit.	P	{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}	0.4404	0.0	0.633	0.367	P
I can't login easily it is making more trouble	N	{'neg': 0.418, 'neu': 0.582, 'pos': 0.0, 'compound': -0.6161}	-0.6161	0.418	0.582	0.0	N
Not working	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Its so bad i dont have words to say	N	{'neg': 0.322, 'neu': 0.678, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.322	0.678	0.0	N
Not worth it	N	{'neg': 0.454, 'neu': 0.546, 'pos': 0.0, 'compound': -0.1695}	-0.1695	0.454	0.546	0.0	N
Many times Network problem	N	{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.474	0.526	0.0	N
Worst app developed by humans.Due to development of this app mankind has lost peace and sleep this kind of app basically helps the business over the educational institutions.Ban this app as soon as possible.	N	{'neg': 0.151, 'neu': 0.706, 'pos': 0.144, 'compound': -0.0772}	-0.0772	0.151	0.706	0.144	N
Showing error every time.	N	{'neg': 0.474, 'neu': 0.526, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.474	0.526	0.0	N
Waste app I can't set my profile pic	N	{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4215}	-0.4215	0.286	0.714	0.0	N
This video is blur and stuck and voice broken	N	{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.421	0.579	0.0	N
Its very bad just because you are lacking	N	{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.351	0.649	0.0	N
Worst app .I am trying from morning to join my classes but this app is not working. This app is just a waste of internet and just waste of time.Too bad app.	N	{'neg': 0.339, 'neu': 0.624, 'pos': 0.037, 'compound': -0.9337}	-0.9337	0.339	0.624	0.037	N
This app is not good. Because whenever I've signed in (zoom) with my facebook or any account it will automatically signed out after sometime.	N	{'neg': 0.095, 'neu': 0.905, 'pos': 0.0, 'compound': -0.3412}	-0.3412	0.095	0.905	0.0	N
It is not working properly	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Worst app in my entire age	N	{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.451	0.549	0.0	N
Waste	N	{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4215}	-0.4215	1.0	0.0	0.0	N
It is very amazing app but there has a pro blem my net is too fast but he say reconnecting please fix this problem	P	{'neg': 0.118, 'neu': 0.699, 'pos': 0.183, 'compound': 0.2374}	0.2374	0.118	0.699	0.183	P
Fuck	N	{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}	-0.5423	1.0	0.0	0.0	N
Battery sucker and interet sucker 5.9 gb per hour	N	{'neg': 0.493, 'neu': 0.507, 'pos': 0.0, 'compound': -0.7783}	-0.7783	0.493	0.507	0.0	N
Very bad app	N	{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.655	0.345	0.0	N
Always showing error Did not able to connect the class	N	{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.231	0.769	0.0	N
Very worst Ã°Å¸ËœÂ Ã°Å¸ËœÂ 	N	{'neg': 0.594, 'neu': 0.406, 'pos': 0.0, 'compound': -0.659}	-0.659	0.594	0.406	0.0	N
Not nice app	N	{'neg': 0.538, 'neu': 0.462, 'pos': 0.0, 'compound': -0.3252}	-0.3252	0.538	0.462	0.0	N
Good app	P	{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}	0.4404	0.0	0.256	0.744	P
Very bad for students	N	{'neg': 0.558, 'neu': 0.442, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.558	0.442	0.0	N
It could not down all the time	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Hate this app!	N	{'neg': 0.666, 'neu': 0.334, 'pos': 0.0, 'compound': -0.6114}	-0.6114	0.666	0.334	0.0	N
this app is waste	N	{'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.4215}	-0.4215	0.483	0.517	0.0	N
Worst app waste of time	N	{'neg': 0.697, 'neu': 0.303, 'pos': 0.0, 'compound': -0.7845}	-0.7845	0.697	0.303	0.0	N
Over heating	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Not even worth of 1 star	N	{'neg': 0.25, 'neu': 0.75, 'pos': 0.0, 'compound': -0.1695}	-0.1695	0.25	0.75	0.0	N
Worst app for students	N	{'neg': 0.577, 'neu': 0.423, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.577	0.423	0.0	N
Very bad ap	N	{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.655	0.345	0.0	N
Worst appÃ°Å¸ËœÂ  sound didn't came	N	{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.506	0.494	0.0	N
ZOOMS NETWORK ARE VERY POOR. REASON IS SOMETIME ZOOM WOULD NOT OPEN AND ALWAYS NETWORK IS GONE THE NETWORK DOD NOT STSBLE HERE WE CANNOT DO OUR CLASS PROPERPLY ZOOM IS A VERY USELESS APP. ZOOM IS A VERY BAD APP BUT I WILL SAY IF ZOOM WILL TRY IT WILL BE BETTER THAN GOOGLE MEET TRY HARD TO MAKE IT SAME AS GOOGLE MEET IF YOU TAKES INTERNET MORE NO PROBLEM BUT IMPROVE IT	N	{'neg': 0.094, 'neu': 0.764, 'pos': 0.142, 'compound': 0.7355}	0.7355	0.094	0.764	0.142	P
It is a terrible app it gets disconnected and when the host share the screen it lags like anything and when I chat my video turns off and sometimes even if I do not chat my video will pause	N	{'neg': 0.124, 'neu': 0.773, 'pos': 0.104, 'compound': -0.2263}	-0.2263	0.124	0.773	0.104	N
I can't install this app, its very irritating	N	{'neg': 0.32, 'neu': 0.68, 'pos': 0.0, 'compound': -0.5095}	-0.5095	0.32	0.68	0.0	N
Zoom is creating glitch in my laptop. every thing becomes hazy which is really annoying and the instance I close the zoom app ,back to normal ..	N	{'neg': 0.099, 'neu': 0.828, 'pos': 0.073, 'compound': -0.2006}	-0.2006	0.099	0.828	0.073	N
Some times it not work	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Unable to install, why so? I need the app.	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Lose	NT	{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4019}	-0.4019	1.0	0.0	0.0	N
Super poor	N	{'neg': 0.443, 'neu': 0.0, 'pos': 0.557, 'compound': 0.2023}	0.2023	0.443	0.0	0.557	P
Bad	N	{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5423}	-0.5423	1.0	0.0	0.0	N
Zoom is just becoming worse now	N	{'neg': 0.383, 'neu': 0.617, 'pos': 0.0, 'compound': -0.4767}	-0.4767	0.383	0.617	0.0	N
Taking huge data	N	{'neg': 0.0, 'neu': 0.465, 'pos': 0.535, 'compound': 0.3182}	0.3182	0.0	0.465	0.535	P
Worst Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢Ã°Å¸ËœÂ¢	N	{'neg': 0.804, 'neu': 0.196, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.804	0.196	0.0	N
Worst app	N	{'neg': 0.804, 'neu': 0.196, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.804	0.196	0.0	N
When I going to participate then my video is off for me also my friends then my host remove me and my friend	N	{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.743}	0.743	0.0	0.769	0.231	P
Guys I don't want to install this app But due to attendance I have installed this app This app is too bad voice also not clear and video also not clear and for android virtual background i can't create .only with pc we can create .i really don't want to install it Ã°Å¸ËœÂ Ã°Å¸ËœÂ Ã°Å¸ËœÂ 	N	{'neg': 0.233, 'neu': 0.727, 'pos': 0.04, 'compound': -0.8942}	-0.8942	0.233	0.727	0.04	N
It's a nonsens aap	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
This appe is good but my class teacher torcher to me	P	{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.2382}	0.2382	0.0	0.837	0.163	P
Video clearity is not good	N	{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.3412}	-0.3412	0.376	0.624	0.0	N
V good	P	{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}	0.4404	0.0	0.256	0.744	P
It is the most bad app ever used	N	{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.351	0.649	0.0	N
Soung problam	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
This aap is very useless because whenever I join a meeting it is disconnecting 5 to 6 times in 40 min and I have 6 meetings in a day of my school	N	{'neg': 0.088, 'neu': 0.85, 'pos': 0.062, 'compound': -0.2247}	-0.2247	0.088	0.85	0.062	N
Its very disgusting	N	{'neg': 0.649, 'neu': 0.351, 'pos': 0.0, 'compound': -0.5709}	-0.5709	0.649	0.351	0.0	N
Not good	N	{'neg': 0.706, 'neu': 0.294, 'pos': 0.0, 'compound': -0.3412}	-0.3412	0.706	0.294	0.0	N
please increase no: of persons which we can see in tab , please add minimise option, give some advantages of pc in android tablets.It takes a lot of time saying connecting Why it doesn't have optimization with Android tabletsÃ°Å¸ËœÂ¡ Hell this app, lot of connection problem	N	{'neg': 0.164, 'neu': 0.674, 'pos': 0.162, 'compound': -0.2695}	-0.2695	0.164	0.674	0.162	N
please add a function to mute other people sharing their audio	P	{'neg': 0.0, 'neu': 0.638, 'pos': 0.362, 'compound': 0.6249}	0.6249	0.0	0.638	0.362	P
The audio is not connecting	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Very bad experience today	N	{'neg': 0.558, 'neu': 0.442, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.558	0.442	0.0	N
It doesn't even deserve 1 star rating. It also suck all my 1.5 gb data if used it for 3 hrs. Worst app do not download it instead of that you can use google classroom or google duo or google meet	N	{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.7906}	-0.7906	0.152	0.848	0.0	N
Spoiling students	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Its hatefull content worst app in the world I hate this app	N	{'neg': 0.438, 'neu': 0.562, 'pos': 0.0, 'compound': -0.8316}	-0.8316	0.438	0.562	0.0	N
Most stressful app	N	{'neg': 0.642, 'neu': 0.358, 'pos': 0.0, 'compound': -0.5563}	-0.5563	0.642	0.358	0.0	N
Consuming all the mobile data	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Disgusting.?.....................	N	{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5267}	-0.5267	1.0	0.0	0.0	N
It doesn't transfer my vedio, while my vedio is on from my device	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
It is very good app but it has a huge problem with it that you can take your online class but you cannot record your online class	P	{'neg': 0.109, 'neu': 0.736, 'pos': 0.155, 'compound': 0.1272}	0.1272	0.109	0.736	0.155	P
Worst app in the world	N	{'neg': 0.506, 'neu': 0.494, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.506	0.494	0.0	N
Very bad , worest,dabbase, mental , it will eat our head becase of this i have no rest	N	{'neg': 0.272, 'neu': 0.728, 'pos': 0.0, 'compound': -0.7178}	-0.7178	0.272	0.728	0.0	N
Very bad app I want improvement in those app	N	{'neg': 0.269, 'neu': 0.426, 'pos': 0.305, 'compound': -0.1263}	-0.1263	0.269	0.426	0.305	N
Suspicious	N	{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3612}	-0.3612	1.0	0.0	0.0	N
Spoilt my entire quarantine life. Fed up	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
This is a very worst app I have ever seen iam not able to sign in or sign up every time it's coming you are not eligible I don't want to give it even 1 star but I should to give this hell rating Plz solve my problem I have posted	N	{'neg': 0.237, 'neu': 0.706, 'pos': 0.057, 'compound': -0.9254}	-0.9254	0.237	0.706	0.057	N
Its was taking to much time to join . only one problem making big problem	N	{'neg': 0.276, 'neu': 0.612, 'pos': 0.112, 'compound': -0.4939}	-0.4939	0.276	0.612	0.112	N
Why I am not able to download the app	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Good app forr meeting	P	{'neg': 0.0, 'neu': 0.508, 'pos': 0.492, 'compound': 0.4404}	0.4404	0.0	0.508	0.492	P
Its not A good app	N	{'neg': 0.376, 'neu': 0.624, 'pos': 0.0, 'compound': -0.3412}	-0.3412	0.376	0.624	0.0	N
Pls improve your app	P	{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.4939}	0.4939	0.0	0.323	0.677	P
There are many audio problem	N	{'neg': 0.403, 'neu': 0.597, 'pos': 0.0, 'compound': -0.4019}	-0.4019	0.403	0.597	0.0	N
Hi friends	P	{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}	0.4767	0.0	0.244	0.756	P
This app is very bad app it is always having network problem very bad very bad app	N	{'neg': 0.525, 'neu': 0.475, 'pos': 0.0, 'compound': -0.9365}	-0.9365	0.525	0.475	0.0	N
I hate this app cause it has an update at every 2 day Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸Â¤Â¬Ã°Å¸Â¤Â¬Ã°Å¸Â¤Â¬Ã°Å¸Â¤Â¬Ã°Å¸Â¤Â¬Ã°Å¸Â¤Â¬Ã°Å¸Â¤Â¬Ã°Å¸Â¤Â¬Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡Ã°Å¸ËœÂ¡	N	{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.5719}	-0.5719	0.222	0.778	0.0	N
It is not working after an update and when we keep camara on in participats it is coming off all ways error code 5 or 11002310 not joining at all please see that you look after it zoom.us and always cant connect to our service in this review worst app ever	N	{'neg': 0.119, 'neu': 0.841, 'pos': 0.04, 'compound': -0.6705}	-0.6705	0.119	0.841	0.04	N
Totally this app is used for the students don't download this app the voice not clear and the video is blur	N	{'neg': 0.098, 'neu': 0.902, 'pos': 0.0, 'compound': -0.2924}	-0.2924	0.098	0.902	0.0	N
This app sometime not prepare metting so they bad and sometime usefu	N	{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.5829}	-0.5829	0.256	0.744	0.0	N
Very lacking and sound was not clear	N	{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.2924}	-0.2924	0.267	0.733	0.0	N
Very bad app	N	{'neg': 0.655, 'neu': 0.345, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.655	0.345	0.0	N
Very very bad quality of audio	N	{'neg': 0.449, 'neu': 0.551, 'pos': 0.0, 'compound': -0.6214}	-0.6214	0.449	0.551	0.0	N
It is ver poor app without internet full of lag	N	{'neg': 0.407, 'neu': 0.593, 'pos': 0.0, 'compound': -0.6705}	-0.6705	0.407	0.593	0.0	N
It is good	P	{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}	0.4404	0.0	0.408	0.592	P
I don't like this	N	{'neg': 0.413, 'neu': 0.587, 'pos': 0.0, 'compound': -0.2755}	-0.2755	0.413	0.587	0.0	N
This is so bad. The didnÃ¢â‚¬â„¢t notify me for update. When i want join a meeting they ask me for update. And i miss my meetings. Shame of you zoom team.	N	{'neg': 0.226, 'neu': 0.688, 'pos': 0.086, 'compound': -0.7712}	-0.7712	0.226	0.688	0.086	N
Internet issues this app	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
I need to see classes because u Ã¢ËœÂÃ°Å¸ËœÅ¾Ã¢ËœÂÃ¢ËœÂÃ¢ËœÂÃ¢ËœÂÃ°Å¸ËœÅ¾Ã¢ËœÂ Ã¢ËœÂÃ°Å¸â€™Â§Ã¢ËœÂÃ¢ËœÂÃ¢ËœÂÃ¢ËœÂÃ°Å¸â€™Â§Ã¢ËœÂ Ã°Å¸Å’â€šÃ°Å¸Å’â€šÃ°Å¸ËœÅ¾Ã°Å¸ËœÅ¾Ã°Å¸ËœÅ¾Ã°Å¸ËœÅ¾Ã°Å¸Å’â€šÃ°Å¸Å’â€š Ã°Å¸Å’â€šÃ°Å¸ËœÅ¾Ã°Å¸Å’â€šÃ°Å¸Å’â€šÃ°Å¸Å’â€šÃ°Å¸Å’â€šÃ°Å¸ËœÅ¾Ã°Å¸Å’â€š I feel so sad	N	{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.6113}	-0.6113	0.222	0.778	0.0	N
Disgusting appp don't download	N	{'neg': 0.531, 'neu': 0.469, 'pos': 0.0, 'compound': -0.5267}	-0.5267	0.531	0.469	0.0	N
very bad.	N	{'neg': 0.791, 'neu': 0.209, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.791	0.209	0.0	N
Good! But should improve!	P	{'neg': 0.0, 'neu': 0.239, 'pos': 0.761, 'compound': 0.7494}	0.7494	0.0	0.239	0.761	P
I give 1 Ã°Å¸Å’Å¸ because it have a lot of network ishu so pls correct this problem	N	{'neg': 0.139, 'neu': 0.772, 'pos': 0.09, 'compound': -0.2403}	-0.2403	0.139	0.772	0.09	N
Worst app ever made for meeting	N	{'neg': 0.451, 'neu': 0.549, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.451	0.549	0.0	N
Its very bad because low quality of screen sharing voice delaying and not connecting Wi-fi	N	{'neg': 0.294, 'neu': 0.573, 'pos': 0.134, 'compound': -0.5198}	-0.5198	0.294	0.573	0.134	N
Please install	P	{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.3182}	0.3182	0.0	0.303	0.697	P
Good app	NT	{'neg': 0.0, 'neu': 0.256, 'pos': 0.744, 'compound': 0.4404}	0.4404	0.0	0.256	0.744	P
Its irritating to use this apps	N	{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.4588}	-0.4588	0.375	0.625	0.0	N
Its very bad because auto rotate not working	N	{'neg': 0.351, 'neu': 0.649, 'pos': 0.0, 'compound': -0.5849}	-0.5849	0.351	0.649	0.0	N
Please confirm your all problems	N	{'neg': 0.338, 'neu': 0.375, 'pos': 0.287, 'compound': -0.1027}	-0.1027	0.338	0.375	0.287	N
I am unable to install this app. I have full bars all around my house still it's not getting installed. I click on install again and again but after getting 100% it again tells me to install. I dont see the option to open the app.	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Too bad	N	{'neg': 0.778, 'neu': 0.222, 'pos': 0.0, 'compound': -0.5423}	-0.5423	0.778	0.222	0.0	N
Not a useful app.Uses alot of data and space	N	{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.3412}	-0.3412	0.231	0.769	0.0	N
Worst app ever seen	N	{'neg': 0.577, 'neu': 0.423, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.577	0.423	0.0	N
It was good	P	{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}	0.4404	0.0	0.408	0.592	P
It is the worst app I will never rate this app	N	{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.291	0.709	0.0	N
Bad app so many glitches	N	{'neg': 0.467, 'neu': 0.533, 'pos': 0.0, 'compound': -0.5423}	-0.5423	0.467	0.533	0.0	N
I was not able to connect	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Password is correct but it is showing not correct	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Very chif	P	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
Worst. App ever	N	{'neg': 0.672, 'neu': 0.328, 'pos': 0.0, 'compound': -0.6249}	-0.6249	0.672	0.328	0.0	N
It is sucking data	NT	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
It consume much data	N	{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}	0.0	0.0	1.0	0.0	NT
